data in percentages,BAU,LP,MP,HP,LP.R,MP.R,HP.R,LP.RR,MP.RR,HP.RR,LG1,LG2
year,Business as usual,Low price,Medium price,High price,Low price retrofit,Medium price retrofit,High price retrofit,Low price retrofit + redistribution,Medium price retrofit + redistribution,High price retrofit + redistr.,Low growth scenario medium price retrofi + redist.,Low growth scenario low price retrofit + redist.
2020,0.36725,0.36725,0.36725,0.36725,0.36725,0.36725,0.36725,0.36725,0.36725,0.367245025,0.36725,0.36725
2021,0.37028,0.37028,0.37028,0.37028,0.37028,0.37028,0.37028,0.37028,0.37028,0.370276425,0.37028,0.37028
2022,0.37340,0.36798,0.36184,0.35128,0.37281,0.37151,0.36607,0.37249,0.37164,0.367425232,0.36937,0.37094
2023,0.37662,0.37017,0.36316,0.35180,0.37704,0.37669,0.37395,0.37683,0.37704,0.375664191,0.37306,0.37353
2024,0.37993,0.37238,0.36472,0.35266,0.38137,0.38212,0.37884,0.38132,0.38268,0.380865132,0.37672,0.37610
2025,0.38335,0.37473,0.36624,0.35354,0.38575,0.38743,0.38271,0.38594,0.38833,0.385250232,0.38057,0.37876
2026,0.38645,0.37680,0.36749,0.35417,0.38980,0.39243,0.38544,0.39013,0.39357,0.388155007,0.38416,0.38123
2027,0.38964,0.37886,0.36891,0.35491,0.39396,0.39650,0.38757,0.39444,0.39795,0.390413964,0.38691,0.38369
2028,0.39292,0.38104,0.37045,0.35583,0.39820,0.39971,0.38955,0.39882,0.40118,0.392649173,0.38847,0.38620
2029,0.39629,0.38340,0.37212,0.35660,0.40256,0.40287,0.39224,0.40325,0.40439,0.395349865,0.38970,0.38878
2030,0.39976,0.38577,0.37399,0.35766,0.40703,0.40591,0.39503,0.40782,0.40766,0.398451608,0.39105,0.39137
2031,0.40297,0.38785,0.37538,0.35835,0.41121,0.40841,0.39716,0.41205,0.41028,0.400951761,0.39185,0.39380
2032,0.40626,0.38998,0.37679,0.35928,0.41549,0.41080,0.39972,0.41639,0.41284,0.403502538,0.39249,0.39632
2033,0.40965,0.39224,0.37842,0.36010,0.41891,0.41313,0.40227,0.42000,0.41531,0.405965218,0.39295,0.39818
2034,0.41312,0.39463,0.38017,0.36112,0.42234,0.41544,0.40435,0.42350,0.41788,0.408163605,0.39343,0.39961
2035,0.41668,0.39707,0.38186,0.36219,0.42568,0.41788,0.40658,0.42697,0.42058,0.410434192,0.39412,0.40111
2036,0.42007,0.39934,0.38359,0.36319,0.42883,0.42009,0.40847,0.43024,0.42303,0.412439519,0.39452,0.40241
2037,0.42355,0.40172,0.38528,0.36434,0.43204,0.42255,0.40959,0.43355,0.42574,0.413970349,0.39497,0.40365
2038,0.42711,0.40424,0.38711,0.36563,0.43531,0.42530,0.41085,0.43691,0.42865,0.415563065,0.39591,0.40490
2039,0.43076,0.40672,0.38893,0.36699,0.43862,0.42805,0.41228,0.44028,0.43165,0.417291835,0.39675,0.40613
2040,0.43449,0.40930,0.39096,0.36853,0.44199,0.43090,0.41382,0.44369,0.43484,0.419097986,0.39775,0.40733
2041,0.43801,0.41164,0.39294,0.36994,0.44508,0.43365,0.41504,0.44687,0.43785,0.420673998,0.39861,0.40838
2042,0.44160,0.41413,0.39483,0.37126,0.44823,0.43665,0.41642,0.45013,0.44090,0.422136851,0.39956,0.40948
2043,0.44528,0.41671,0.39680,0.37246,0.45152,0.43963,0.41770,0.45346,0.44427,0.423765448,0.40058,0.41050
2044,0.44903,0.41938,0.39883,0.37390,0.45481,0.44291,0.41899,0.45687,0.44765,0.425439146,0.40164,0.41153
2045,0.45286,0.42215,0.40103,0.37527,0.45815,0.44575,0.42069,0.46033,0.45053,0.427150981,0.40283,0.41261
2046,0.45650,0.42469,0.40298,0.37674,0.46123,0.44815,0.42208,0.46351,0.45307,0.428631284,0.40338,0.41353
2047,0.46021,0.42741,0.40512,0.37837,0.46439,0.45056,0.42341,0.46672,0.45575,0.430188364,0.40391,0.41444
2048,0.46399,0.43016,0.40732,0.38010,0.46765,0.45313,0.42505,0.47001,0.45851,0.431816943,0.40441,0.41539
2049,0.46785,0.43300,0.40960,0.38177,0.47119,0.45563,0.42677,0.47352,0.46132,0.433737844,0.40498,0.41633
2050,0.47177,0.43596,0.41189,0.38370,0.47507,0.45826,0.42843,0.47737,0.46414,0.435643484,0.40562,0.41770
2051,0.47565,0.43886,0.41419,0.38552,0.47898,0.46081,0.42994,0.48130,0.46680,0.437421289,0.40617,0.41911
2052,0.47960,0.44181,0.41655,0.38739,0.48300,0.46333,0.43167,0.48535,0.46959,0.439296028,0.40675,0.42063
2053,0.48360,0.44484,0.41915,0.38939,0.48708,0.46600,0.43357,0.48951,0.47225,0.44117806,0.40726,0.42223
2054,0.48766,0.44797,0.42159,0.39152,0.49131,0.46861,0.43546,0.49376,0.47497,0.443368305,0.40775,0.42385
2055,0.49179,0.45111,0.42420,0.39372,0.49504,0.47134,0.43761,0.49748,0.47782,0.445652684,0.40834,0.42558
2056,0.49595,0.45434,0.42688,0.39597,0.49864,0.47406,0.43970,0.50110,0.48078,0.447933223,0.40895,0.42737
2057,0.50016,0.45765,0.42977,0.39835,0.50233,0.47693,0.44195,0.50481,0.48376,0.450236789,0.40954,0.42861
2058,0.50442,0.46099,0.43272,0.40074,0.50611,0.47980,0.44435,0.50856,0.48675,0.452738476,0.41012,0.42987
2059,0.50872,0.46435,0.43573,0.40327,0.50993,0.48272,0.44679,0.51246,0.48977,0.455344091,0.41076,0.43114
2060,0.51306,0.46781,0.43876,0.40586,0.51370,0.48583,0.44928,0.51631,0.49288,0.458023729,0.41148,0.43245
2061,0.51733,0.47118,0.44176,0.40838,0.51748,0.48881,0.45173,0.52006,0.49595,0.460710017,0.41222,0.43379
2062,0.52163,0.47463,0.44480,0.41100,0.52125,0.49183,0.45434,0.52385,0.49899,0.463427172,0.41299,0.43519
2063,0.52596,0.47814,0.44786,0.41367,0.52513,0.49490,0.45690,0.52767,0.50226,0.4662011,0.41374,0.43656
2064,0.53032,0.48170,0.45107,0.41649,0.52898,0.49799,0.45960,0.53149,0.50544,0.469134211,0.41453,0.43789
2065,0.53472,0.48536,0.45434,0.41937,0.53290,0.50117,0.46231,0.53548,0.50878,0.47206179,0.41539,0.43927
2066,0.53896,0.48891,0.45750,0.42219,0.53673,0.50427,0.46499,0.53926,0.51196,0.474844973,0.41617,0.44063
2067,0.54322,0.49251,0.46069,0.42506,0.54051,0.50746,0.46773,0.54303,0.51517,0.477740454,0.41701,0.44202
2068,0.54751,0.49609,0.46408,0.42795,0.54428,0.51067,0.47052,0.54680,0.51848,0.480716948,0.41788,0.44345
2069,0.55181,0.49981,0.46741,0.43095,0.54810,0.51392,0.47346,0.55067,0.52181,0.483737047,0.41878,0.44492
2070,0.55613,0.50355,0.47082,0.43404,0.55197,0.51721,0.47643,0.55453,0.52515,0.486808678,0.41970,0.44633
2071,0.56027,0.50716,0.47406,0.43701,0.55559,0.52040,0.47928,0.55817,0.52829,0.489744335,0.42063,0.44770
2072,0.56443,0.51076,0.47731,0.44000,0.55924,0.52355,0.48212,0.56186,0.53158,0.492798775,0.42155,0.44902
2073,0.56859,0.51445,0.48065,0.44308,0.56304,0.52688,0.48506,0.56560,0.53490,0.495873788,0.42248,0.45039
2074,0.57277,0.51817,0.48411,0.44628,0.56679,0.53019,0.48803,0.56939,0.53822,0.498965276,0.42346,0.45177
2075,0.57695,0.52184,0.48756,0.44950,0.57058,0.53355,0.49104,0.57315,0.54156,0.502161149,0.42451,0.45321
2076,0.58097,0.52538,0.49083,0.45259,0.57414,0.53670,0.49401,0.57673,0.54482,0.505206086,0.42554,0.45458
2077,0.58498,0.52894,0.49425,0.45573,0.57772,0.53994,0.49696,0.58029,0.54808,0.508269605,0.42658,0.45602
2078,0.58901,0.53256,0.49769,0.45891,0.58126,0.54326,0.49996,0.58383,0.55138,0.511430735,0.42762,0.45744
2079,0.59303,0.53618,0.50116,0.46214,0.58484,0.54664,0.50306,0.58741,0.55472,0.514603646,0.42869,0.45889
2080,0.59705,0.53986,0.50461,0.46544,0.58844,0.55002,0.50616,0.59106,0.55808,0.517805708,0.42980,0.46031
2081,0.60093,0.54341,0.50798,0.46856,0.59188,0.55321,0.50917,0.59446,0.56134,0.520872,0.43083,0.46171
2082,0.60480,0.54696,0.51129,0.47176,0.59535,0.55643,0.51219,0.59790,0.56456,0.523988769,0.43191,0.46314
2083,0.60867,0.55052,0.51472,0.47501,0.59880,0.55972,0.51528,0.60139,0.56784,0.527137277,0.43307,0.46452
2084,0.61253,0.55410,0.51812,0.47828,0.60230,0.56306,0.51840,0.60489,0.57114,0.53031321,0.43417,0.46593
2085,0.61639,0.55771,0.52160,0.48161,0.60580,0.56640,0.52153,0.60841,0.57446,0.533577114,0.43535,0.46741
2086,0.62011,0.56118,0.52490,0.48480,0.60917,0.56960,0.52452,0.61178,0.57767,0.536696076,0.43648,0.46885
2087,0.62382,0.56471,0.52826,0.48799,0.61255,0.57281,0.52760,0.61516,0.58093,0.539819423,0.43762,0.47026
2088,0.62752,0.56818,0.53162,0.49122,0.61594,0.57604,0.53068,0.61855,0.58415,0.542984226,0.43879,0.47167
2089,0.63121,0.57167,0.53504,0.49451,0.61933,0.57931,0.53378,0.62193,0.58735,0.546133811,0.43999,0.47314
2090,0.63489,0.57522,0.53847,0.49783,0.62270,0.58262,0.53694,0.62532,0.59061,0.54933713,0.44125,0.47460
2091,0.63843,0.57863,0.54177,0.50100,0.62595,0.58579,0.53994,0.62858,0.59373,0.552418537,0.44246,0.47600
2092,0.64196,0.58205,0.54507,0.50423,0.62921,0.58897,0.54299,0.63185,0.59687,0.55548295,0.44364,0.47743
2093,0.64547,0.58544,0.54842,0.50746,0.63243,0.59213,0.54604,0.63508,0.60005,0.558556607,0.44488,0.47890
2094,0.64897,0.58886,0.55179,0.51071,0.63569,0.59531,0.54912,0.63831,0.60324,0.561692623,0.44611,0.48036
2095,0.65246,0.59228,0.55513,0.51395,0.63894,0.59854,0.55220,0.64157,0.60641,0.5648436,0.44737,0.48186
2096,0.65578,0.59552,0.55829,0.51707,0.64202,0.60156,0.55510,0.64465,0.60941,0.567825798,0.44859,0.48330
2097,0.65909,0.59877,0.56148,0.52023,0.64512,0.60462,0.55806,0.64772,0.61243,0.570819028,0.44987,0.48472
2098,0.66238,0.60202,0.56471,0.52336,0.64819,0.60766,0.56101,0.65080,0.61549,0.573798856,0.45109,0.48616
2099,0.66566,0.60529,0.56792,0.52651,0.65128,0.61071,0.56400,0.65386,0.61851,0.576806811,0.45236,0.48760
2100,0.66893,0.60853,0.57116,0.52968,0.65433,0.61373,0.56694,0.65692,0.62147,0.579803657,0.45370,0.48916
