budget_global_going_to_redistr_scen2_2,budget_global_going_to_retrofit_scen2_2,extra_emissions_from_redistribution_GLOBAL_SHARE ,extra_abated_emissions_from_retrofit_GLOBAL_SHARE
0,1,0,0.0112365
0.00194936,0.998051,0.000132473,0.0112154
0.00443348,0.995567,0.000298321,0.0111883
0.00719435,0.992806,0.00048132,0.0111582
0.0101679,0.989832,0.000677465,0.0111257
0.013321,0.986679,0.000884696,0.0110912
0.016633,0.983367,0.00110173,0.011055
0.0200897,0.97991,0.00132767,0.0110172
0.0236808,0.976319,0.00156189,0.0109779
0.0273983,0.972602,0.00180388,0.0109372
0.0312359,0.968764,0.00205326,0.0108951
0.0351886,0.964811,0.00230971,0.0108518
0.0392522,0.960748,0.00257298,0.0108072
0.0434235,0.956577,0.00284285,0.0107614
0.0476995,0.952301,0.00311916,0.0107145
0.0520778,0.947922,0.00340174,0.0106664
0.0565564,0.943444,0.00369049,0.0106173
0.0611337,0.938866,0.00398528,0.010567
0.0658082,0.934192,0.00428603,0.0105156
0.0705787,0.929421,0.00459266,0.0104632
0.0754441,0.924556,0.00490512,0.0104097
0.0804037,0.919596,0.00522335,0.0103551
0.0854567,0.914543,0.0055473,0.0102995
0.0906027,0.909397,0.00587695,0.0102429
0.0958412,0.904159,0.00621226,0.0101852
0.101172,0.898828,0.00655322,0.0101265
0.106595,0.893405,0.00689982,0.0100668
0.112109,0.887891,0.00725204,0.0100061
0.117716,0.882284,0.0076099,0.00994427
0.123415,0.876585,0.00797339,0.00988146
0.129206,0.870794,0.00834252,0.00981762
0.135089,0.864911,0.00871731,0.00975275
0.141065,0.858935,0.00909779,0.00968684
0.147135,0.852865,0.00948396,0.00961988
0.153298,0.846702,0.00987587,0.00955187
0.159555,0.840445,0.0102735,0.00948281
0.165907,0.834093,0.010677,0.00941268
0.172355,0.827645,0.0110863,0.00934149
0.1789,0.8211,0.0115016,0.00926921
0.185541,0.814459,0.0119227,0.00919584
0.19228,0.80772,0.0123499,0.00912138
0.199119,0.800881,0.0127831,0.0090458
0.206058,0.793942,0.0132224,0.0089691
0.213098,0.786902,0.013668,0.00889126
0.22024,0.77976,0.0141198,0.00881227
0.227487,0.772513,0.0145779,0.00873212
0.234838,0.765162,0.0150425,0.00865078
0.242296,0.757704,0.0155136,0.00856825
0.249862,0.750138,0.0159913,0.0084845
0.257538,0.742462,0.0164757,0.00839952
0.265326,0.734674,0.0169669,0.00831327
0.273227,0.726773,0.0174651,0.00822577
0.281243,0.718757,0.0179703,0.00813697
0.289377,0.710623,0.0184827,0.00804684
0.29763,0.70237,0.0190024,0.00795537
0.306005,0.693995,0.0195295,0.00786252
0.314505,0.685495,0.0200643,0.00776828
0.323131,0.676869,0.0206068,0.0076726
0.331887,0.668113,0.0211572,0.00757547
0.340776,0.659224,0.0217157,0.00747684
0.349801,0.650199,0.0222825,0.00737667
0.358964,0.641036,0.0228578,0.00727496
0.368269,0.631731,0.0234418,0.00717164
0.377721,0.622279,0.0240348,0.00706667
0.387323,0.612677,0.0246369,0.00696
0.397079,0.602921,0.0252484,0.0068516
0.406994,0.593006,0.0258696,0.00674141
0.417072,0.582928,0.0265008,0.00662937
0.427318,0.572682,0.0271424,0.00651542
0.437739,0.562261,0.0277945,0.00639952
0.448339,0.551661,0.0284577,0.00628158
0.459126,0.540874,0.0291322,0.00616154
0.470106,0.529894,0.0298185,0.00603932
0.481286,0.518714,0.0305171,0.00591483
0.492674,0.507326,0.0312285,0.00578799
0.50428,0.49572,0.0319531,0.00565869
0.516112,0.483888,0.0326915,0.00552683
0.528182,0.471818,0.0334445,0.00539228
0.540499,0.459501,0.0342126,0.00525493
0.553077,0.446923,0.0349967,0.00511462
0.56593,0.43407,0.0357976,0.00497121
0.579073,0.420927,0.0366163,0.0048245
0.592522,0.407478,0.0374537,0.00467432
0.606299,0.393701,0.0383112,0.00452043
0.620423,0.379577,0.0391899,0.0043626
0.634921,0.365079,0.0400915,0.00420053
0.64982,0.35018,0.0410177,0.0040339
0.665154,0.334846,0.0419706,0.00386233
0.680796,0.319204,0.0429306,0.00368777
0.696864,0.303136,0.0439175,0.00350822
0.713459,0.286541,0.0449373,0.00332254
0.73068,0.26932,0.0459952,0.00312972
0.748613,0.251387,0.0470966,0.00292881
0.767355,0.232645,0.048247,0.00271869
0.787051,0.212949,0.0494557,0.0024977
0.807367,0.192633,0.0507101,0.0022701
0.828041,0.171959,0.0520077,0.0020353
0.848656,0.151344,0.0533107,0.00179784
0.871303,0.128697,0.0547408,0.00153574
0.896438,0.103562,0.0563327,0.00124158
0.925855,0.0741447,0.0579894,0.000889531
